text,Pattern Category,label
My Story,Not Dark Pattern,0
Only 22 left in stock!,Scarcity,1
1 in Stock,Scarcity,1
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Scarcity,1
 Charity Collection ,Not Dark Pattern,0
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,2
Returns Information,Not Dark Pattern,0
KidsAuthentic,Not Dark Pattern,0
 All Personalised Gifts ,Not Dark Pattern,0
Most of our orders are from repeat customers.,Not Dark Pattern,0
High-Waisted Shorts,Not Dark Pattern,0
 We value your privacy We use cookies to improve your website experience. We also use third-party cookies for marketing purposes. Learn more. ,Not Dark Pattern,0
STAY IN THE LOOP!,Not Dark Pattern,0
 Subscribe! Don’t be caught empty handed ,Not Dark Pattern,0
ONLY 1 LEFT! GET IT NOW!,Scarcity,1
" Looks like your cart is empty, let's fix that! ",Not Dark Pattern,0
Bath Decor,Not Dark Pattern,0
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,4
ONLY 11 LEFT,Scarcity,1
 Active Filters English English ✘ Remove Filter ,Not Dark Pattern,0
Necessary Protection..,Misdirection,4
Hot Offer. Limited Time,Urgency,3
6 items left! Order soon.,Scarcity,1
selected language日本語currencyJPY,Not Dark Pattern,0
Men's Sports Bottoms,Not Dark Pattern,0
Recovery Best Sellers,Not Dark Pattern,0
104 people viewed this product recently!,Social Proof,2
New In ,Not Dark Pattern,0
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,Not Dark Pattern,0
 Chargers ,Not Dark Pattern,0
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,3
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,3
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,3
Sale ends soon:,Urgency,3
Hydration,Not Dark Pattern,0
We have 1 left in stock,Scarcity,1
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,3
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern,0
 Data Processor: Amobee ,Not Dark Pattern,0
"Order soon, only 1 left!",Scarcity,1
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,2
Shop By Fabric,Not Dark Pattern,0
"Crystal Li in Flushing, United States purchased a",Social Proof,2
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Social Proof,2
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Not Dark Pattern,0
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Social Proof,2
 Circa Punches ,Not Dark Pattern,0
Great for keeping track of your pup while at work,Not Dark Pattern,0
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,2
Switchers,Not Dark Pattern,0
"Check your orders, in-store quotes & more",Not Dark Pattern,0
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Misdirection,4
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency,3
Only 4 left in stock,Scarcity,1
Viewed 1040 times in the last 7 days,Social Proof,2
Exterior Accessories,Not Dark Pattern,0
 Champagne Taittinger ,Not Dark Pattern,0
4 SEATS LEFT,Scarcity,1
Laundry Care,Not Dark Pattern,0
"Hurry, only 2 left in stock!",Scarcity,1
ADD FOR BETTER RESULTS,Misdirection,4
1 person is viewing this,Social Proof,2
 You can change your preference here Shop for Select an age ,Not Dark Pattern,0
 Tracksuit,Not Dark Pattern,0
I have not had my hair so soft and shiny in such a long time and my grey was completely covered! So incredibly happy.,Not Dark Pattern,0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Not Dark Pattern,0
Lenscap: Damage Only,Misdirection,4
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Social Proof,2
Orthopedic,Not Dark Pattern,0
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Social Proof,2
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern,0
Hair type: Curly,Not Dark Pattern,0
Golf Shop,Not Dark Pattern,0
What treats can I use?,Not Dark Pattern,0
 All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0
 Chair Accessories ,Not Dark Pattern,0
LIMITED TIME OFFER!,Urgency,3
Facebook icon,Not Dark Pattern,0
Your order is reserved for 09:54 minutes!,Urgency,3
"Only 5 left , In Stock",Scarcity,1
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0
Already have an account?,Not Dark Pattern,0
Nursing chairs,Not Dark Pattern,0
 Shop All Men's Boots ,Not Dark Pattern,0
ONLY 4 LEFT IN STOCK,Scarcity,1
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Social Proof,2
"In Stock, Only 1 Left!",Scarcity,1
"No thanks, I'm not interested in saving money.",Misdirection,4
 Polar Lights II ,Not Dark Pattern,0
Limited quantity remaining,Scarcity,1
"NA-KD, White",Not Dark Pattern,0
Highline Double Wheel Bag,Not Dark Pattern,0
Product Feature,Not Dark Pattern,0
23% left in stock!,Scarcity,1
FootwearHome & Office,Not Dark Pattern,0
limited availability at this price!,Scarcity,1
Beach Towels & Mats,Not Dark Pattern,0
 Hairy Chest T-Shirt And Shorts Combo ,Not Dark Pattern,0
117 people have viewed this item in the last 7 days.,Social Proof,2
By Brand All Men's Brands ,Not Dark Pattern,0
Only 2 copies left,Scarcity,1
*Freight/Higher Freight charges may apply to some areas. Click here to view Shipping Policy,Not Dark Pattern,0
Almost gone! Only 3 left In Stock,Scarcity,1
Summary,Not Dark Pattern,0
"Only 1 left , In Stock",Scarcity,1
This offer is only VALID if you add to cart now!,Misdirection,4
 Shop ,Not Dark Pattern,0
Subscribe & Save (15%): $ 16.99,Misdirection,4
 IZZY MIDI DRESS Ivory ,Not Dark Pattern,0
Toddler Girl Jumpsuits and Rompers,Not Dark Pattern,0
2 people are looking right now,Social Proof,2
Your first payment will be due on the day of your purchase.*,Not Dark Pattern,0
7 left in stock,Scarcity,1
Strip Softbox,Not Dark Pattern,0
A Ritual of Light,Not Dark Pattern,0
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Social Proof,2
"Hurry, only 5 left",Scarcity,1
"No thanks, I'll be the last to know.",Misdirection,4
Here to help,Not Dark Pattern,0
Hair Tools,Not Dark Pattern,0
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Social Proof,2
1 left at this price,Scarcity,1
 Shop By Shape ,Not Dark Pattern,0
 Shirts & Blouses ,Not Dark Pattern,0
6 others have already bought this deal today!,Social Proof,2
No thanks. I'd rather pay full price.,Misdirection,4
 Tights ,Not Dark Pattern,0
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern,0
Shop all interactive whiteboards,Not Dark Pattern,0
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,2
Only 4 items left in stock.,Scarcity,1
Hurry up! 6 people other than you have this product in their cart,Social Proof,2
"No thanks, I don't like saving money",Misdirection,4
 Loyalty Points ,Not Dark Pattern,0
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency,3
Tretorn,Not Dark Pattern,0
(5 Left),Scarcity,1
Panther Anole,Not Dark Pattern,0
Quick Navigation,Not Dark Pattern,0
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,4
"Before you check out, can we tempt you?",Misdirection,4
 Motocross Boots ,Not Dark Pattern,0
U.S. Vape Mail Ban FAQs,Not Dark Pattern,0
Grab yourself a bargain!,Misdirection,4
3642 BOUGHT,Social Proof,2
"No thanks, I hate saving money",Misdirection,4
Whey Protein Isolate,Not Dark Pattern,0
Trowels & Putty Knife,Not Dark Pattern,0
I don't want to save money,Misdirection,4
Barbour International,Not Dark Pattern,0
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,2
31 people seeing this product right now,Social Proof,2
LIMITED TIME LEFT! 00 : 46 : 11,Urgency,3
WilmaNorth Carolina,Not Dark Pattern,0
A customer service specialist will contact you soon.,Not Dark Pattern,0
Limited time remaining!,Urgency,3
Limited Availability,Scarcity,1
Plus Size Graphic Tops,Not Dark Pattern,0
 Apple iPhone X » ,Not Dark Pattern,0
Elegant A Line Short Sleeve Satin Bateau Floor-length Mother of the Bride Dress with Ribbon,Not Dark Pattern,0
39 recently purchased it,Social Proof,2
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,2
Only 3 Left in Stock!,Scarcity,1
Red Tops,Not Dark Pattern,0
Only 34 Left!,Scarcity,1
Limited stock available,Scarcity,1
11 people viewed this today!,Social Proof,2
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Social Proof,2
Hype. Home,Not Dark Pattern,0
40 users are currently active on our website just now.,Social Proof,2
Only 69 left!,Scarcity,1
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",Not Dark Pattern,0
"No thanks, I'll just pay full price.",Misdirection,4
Only 1 Left,Scarcity,1
 Worldwide ,Not Dark Pattern,0
52 people are looking at this right now.,Social Proof,2
All Cross Stitch Patterns,Not Dark Pattern,0
"Hurry, Only a few left!",Scarcity,1
3 other people are currently viewing this item.,Social Proof,2
Product Info,Not Dark Pattern,0
Father's Day Gifts,Not Dark Pattern,0
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,3
Nighty For Honeymoon,Not Dark Pattern,0
 Candy & Snacks ,Not Dark Pattern,0
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Social Proof,2
Embossing Powder,Not Dark Pattern,0
Terrarium Light Canopies,Not Dark Pattern,0
 Join NRA or Renew,Not Dark Pattern,0
Less than 7 left!,Scarcity,1
Order without free membership $69.95,Misdirection,4
"Trey in Columbia, United States purchased Leather Cord Capsule",Social Proof,2
HURRY ONLY 1 ITEM LEFT!,Scarcity,1
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern,0
 My Project Lists ,Not Dark Pattern,0
22 people have looked at this part recently,Social Proof,2
Returns an Item,Not Dark Pattern,0
Parad Combo Deals ,Not Dark Pattern,0
"No thanks, I like full price",Misdirection,4
Only 2 units left in stock,Scarcity,1
We don't give out your details to third parties.,Not Dark Pattern,0
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Urgency,3
Cropped Jeans,Not Dark Pattern,0
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,3
23 People viewing this product,Social Proof,2
Shop now. Pay later. Always interest-free,Not Dark Pattern,0
Limited time - final price reflects extra 29% off,Urgency,3
 Data Processor Privacy Policy: https://triplelift.com/privacy ,Not Dark Pattern,0
 Gift Card FAQs ,Not Dark Pattern,0
"Want more inspiration and styling tips? Dive into The Southern Edit, Southern Tide’s lifestyle blog, and follow us on social media. ",Not Dark Pattern,0
Hurry! Only 1 Pair left!,Scarcity,1
International Shipping Policy,Not Dark Pattern,0
80 Customers are considering this product right now.,Social Proof,2
Only 1 left.,Scarcity,1
"No Thanks, I prefer not to have a protection plan",Misdirection,4
Last Shape Guide,Not Dark Pattern,0
Only 8 items left in stock!,Scarcity,1
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Not Dark Pattern,0
The page you were looking for doesn't exist.,Not Dark Pattern,0
Back Yard & Spa,Not Dark Pattern,0
Explore The NRA Universe Of Websites,Not Dark Pattern,0
 Best-Selling Products ,Not Dark Pattern,0
 Mobile Terms of Use ,Not Dark Pattern,0
18 In Stock,Scarcity,1
2 in stock,Scarcity,1
 A-Z Luxury Brands ,Not Dark Pattern,0
LCD Ribbon Cables,Not Dark Pattern,0
Hurry! Only 9 left in stock.,Scarcity,1
"No, I'd rather do it the hard way...",Misdirection,4
SAVE $200 OFF PUFFY,Urgency,3
"Michael in Pontiac, United States purchased a  ",Social Proof,2
ONLY 8 LEFT,Scarcity,1
"Business, Office & Industrial",Not Dark Pattern,0
Mallet E Speed Lace - Black/Silver,Not Dark Pattern,0
*Only 2 left in stock. Don't miss out!,Scarcity,1
" Synthetic nicotine | Strawberry, kiwi & pomegranate ",Not Dark Pattern,0
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Social Proof,2
"No Thanks, I Don't Want a Free Gift",Misdirection,4
Shop Men's Styles,Not Dark Pattern,0
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Urgency,3
"No Thanks, I don't like exclusive deals.",Misdirection,4
Brandon Blackwood,Not Dark Pattern,0
Hurry! Only 1 left in size M!!,Scarcity,1
Powered by,Not Dark Pattern,0
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Urgency,3
My Reviews,Not Dark Pattern,0
Log in / Create an account,Not Dark Pattern,0
Nightforce New Year Clearance,Not Dark Pattern,0
Only 8 left in stock. Almost Gone!,Scarcity,1
2 left in stock,Scarcity,1
Only 4 left!,Scarcity,1
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Urgency,3
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",Not Dark Pattern,0
"No Thanks, I prefer paying full price.",Misdirection,4
gifts for wife,Not Dark Pattern,0
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern,0
ONLY A FEW LEFT!,Scarcity,1
Spring Styles ,Not Dark Pattern,0
Only 16 Left in Stock!,Scarcity,1
 Accessories Collection ,Not Dark Pattern,0
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,Not Dark Pattern,0
232 people are viewing this offer!,Social Proof,2
Boys Grey School Uniforms,Not Dark Pattern,0
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Social Proof,2
 Fashion Short Sleeve Crew Neck Print Dress ,Not Dark Pattern,0
"Order now, only 2 left in stock!",Scarcity,1
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,Social Proof,2
 to read up about,Not Dark Pattern,0
only 5 left in stock!,Scarcity,1
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Social Proof,2
111 people have purchased this item,Social Proof,2
Only 498 left,Scarcity,1
"Weight Management Shakes help cut cals, control appetite, and drop LBS.* Learn more about Weight Management Shakes.",Not Dark Pattern,0
Enable cookies to use the shopping cart,Not Dark Pattern,0
 Excellent service all round ,Not Dark Pattern,0
"no thanks, I hate fun & games",Misdirection,4
Fave x GrabPay,Not Dark Pattern,0
10 Left,Scarcity,1
Your order is reserved for 29:52 minutes!,Urgency,3
Traditional Snacks,Not Dark Pattern,0
I'D RATHER PAY FULL PRICE,Misdirection,4
 Boardshorts,Not Dark Pattern,0
"HURRY, ONLY 1 LEFT!",Scarcity,1
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern,0
HAUTELOOK 04:53,Urgency,3
"N++ is all about using your momentum to complete levels and get high scores, but in this sci-fi world, there’s a slew of inadvertently homicidal enemy robots trying to prevent you from completing your goal.",Not Dark Pattern,0
Someone in Egypt bought,Social Proof,2
Exotic Bird Food,Not Dark Pattern,0
clear text ,Not Dark Pattern,0
ONLY 1 LEFT IN THIS SIZE,Scarcity,1
Carports & Garages,Not Dark Pattern,0
6 other people looking at this item,Social Proof,2
Great for shine,Not Dark Pattern,0
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Social Proof,2
Recent Searches,Not Dark Pattern,0
"No Thanks, I rather pay full price",Misdirection,4
Power Button Covers,Not Dark Pattern,0
only 2 left!,Scarcity,1
Selling fast!,Scarcity,1
Only 1 item left in stock,Scarcity,1
Hurry only 8 items left!,Scarcity,1
 PopTop Refine by Product Type: PopTop ,Not Dark Pattern,0
Only 7 left!,Scarcity,1
Only 3 Left In Stock,Scarcity,1
 Electric Daisy ,Not Dark Pattern,0
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,3
We are currently accepting and processing orders from following:,Not Dark Pattern,0
 End Tables,Not Dark Pattern,0
Only one item left in stock!,Scarcity,1
commonpandacom@commonpandacom,Not Dark Pattern,0
FREE SHIPPING // FOR A LIMITED TIME ONLY,Urgency,3
OUR BEST SELLING GOGGLE,Misdirection,4
83% offers claimed. Hurry up!,Scarcity,1
 ≡ Filter Reviews Clicking on the following button will update the content below ,Not Dark Pattern,0
Americas,Not Dark Pattern,0
"› New Year, New Kit Sale",Not Dark Pattern,0
Clocks ,Not Dark Pattern,0
I Don't Like to Save Money,Misdirection,4
. ,Not Dark Pattern,0
Welcome Newcomer,Not Dark Pattern,0
 PG Picks: Skin Care for Incontinence ,Not Dark Pattern,0
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,Not Dark Pattern,0
Graphic T-Shirts,Not Dark Pattern,0
 shop by trend ,Not Dark Pattern,0
Thin and tough - protects from minor scratches,Not Dark Pattern,0
 Moonstone Beads ,Not Dark Pattern,0
Only 1 item(s) left in stock,Scarcity,1
Explosive Offers! 80% Off Everything 07:25:41,Urgency,3
This item is in high demand.,Scarcity,1
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,Not Dark Pattern,0
Color Block,Not Dark Pattern,0
This is in 5 other carts.,Social Proof,2
"No thanks, I don't want 15% off",Misdirection,4
Bottoms Deals,Not Dark Pattern,0
Stay in the Know,Not Dark Pattern,0
Homeware Trends,Not Dark Pattern,0
Computer Accessories,Not Dark Pattern,0
Only 1 left in stock! Get in quick!,Scarcity,1
Only: 9 in stock now,Scarcity,1
320 items left,Scarcity,1
Drawstring Backpacks,Not Dark Pattern,0
Cellular/Honeycomb Shades,Not Dark Pattern,0
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Social Proof,2
Gift Wrapping Supplies,Not Dark Pattern,0
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,2
00DAYS02HRS14MINS1211SEC,Urgency,3
6 customers have this in their basket,Social Proof,2
Macro Focussing Rails,Not Dark Pattern,0
Rose Gold Shoes,Not Dark Pattern,0
[new-troh-pick],Not Dark Pattern,0
Hurry! Only 4 left in stock.,Scarcity,1
White Camo Windbreaker - Rock N' Roll,Not Dark Pattern,0
We are not currently accepting orders from outside of the UK.,Not Dark Pattern,0
Delivery & Returns,Not Dark Pattern,0
Feeding Nightwear,Not Dark Pattern,0
660 people have viewed today,Social Proof,2
lego harry potter,Not Dark Pattern,0
Start SellingSearchWishlistAccountCartCart,Not Dark Pattern,0
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Misdirection,4
 Zero Gravity Lift Chairs ,Not Dark Pattern,0
Trousers & Chinos,Not Dark Pattern,0
Last 1 left,Scarcity,1
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency,3
How/why the homepage uses cookies,Not Dark Pattern,0
Upright Plants,Not Dark Pattern,0
"No Thanks, I don't want official software at the best price.",Misdirection,4
80% offers claimed. Hurry up!,Scarcity,1
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0
 Eyelashes ,Not Dark Pattern,0
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Social Proof,2
LIMITED TIME ONLY *on select models,Urgency,3
2 left,Scarcity,1
Fun Treat Tossing,Not Dark Pattern,0
Only 1 left in stock - Order soon,Scarcity,1
10 SEATS LEFT,Scarcity,1
We're offline,Not Dark Pattern,0
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency,3
Occasion: Anniversary,Not Dark Pattern,0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",Not Dark Pattern,0
Nicholas Kirkwood,Not Dark Pattern,0
Uncheck the box if you prefer not to receive email updates.,Misdirection,4
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Urgency,3
 Short,Not Dark Pattern,0
3DAYS124606,Urgency,3
Welcome To Hotter us,Not Dark Pattern,0
 Crossbody & Belt Bags ,Not Dark Pattern,0
Card Storage,Not Dark Pattern,0
Special sale ends in,Urgency,3
ONLY 1 LEFT IN STOCK,Scarcity,1
Please note: we do not ship to PO Boxes,Not Dark Pattern,0
"Hurry, this style is selling fast!",Scarcity,1
45 ADDED TO BAG IN THE PAST 24 HOURS,Social Proof,2
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Social Proof,2
All You™,Not Dark Pattern,0
"19,302 people have added this item to cart",Social Proof,2
"Ends in 1 Days, 4 Minutes, 44 Seconds",Urgency,3
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,Not Dark Pattern,0
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,2
Hurry only 2 left,Scarcity,1
 Mixed Media ,Not Dark Pattern,0
Specialist Tools,Not Dark Pattern,0
Trending Players,Not Dark Pattern,0
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Social Proof,2
Only 5 left,Scarcity,1
No thanks. I don't like free things...,Misdirection,4
Stone Island Junior,Not Dark Pattern,0
Less than 6 items left,Scarcity,1
Keep up with crankbrothers,Not Dark Pattern,0
30 people have purchased this item,Social Proof,2
"Now 30% off - hurry, limited time offer!",Urgency,3
Lean To Sheds,Not Dark Pattern,0
LIMITED TIME ONLY!,Urgency,3
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,Urgency,3
Hand & Foot Skin Care,Not Dark Pattern,0
Work With More Buyers And Sellers?,Not Dark Pattern,0
"No thanks, I like paying full price",Misdirection,4
"ONLY 5 LEFT, HURRY!",Scarcity,1
Retro Cordless Edison Bulb Lamp,Not Dark Pattern,0
4 sold in last 5 hours,Social Proof,2
Gear Up,Not Dark Pattern,0
 Rudraksha Recommendations ,Not Dark Pattern,0
Aromatherapy ,Not Dark Pattern,0
Only 2 left!,Scarcity,1
"NO THANKS, I DON'T WANT TO SAVE",Misdirection,4
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Social Proof,2
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",Misdirection,4
33 people are eyeing this item!,Social Proof,2
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1
Shop All,Not Dark Pattern,0
 Data Processor Privacy Policy: https://casalemedia.com/ ,Not Dark Pattern,0
 Microsoft Xbox One S Wireless Controller » ,Not Dark Pattern,0
We only have 5 left!,Scarcity,1
" -- Preeti Shenoy, author of THE RULE BREAKERS",Not Dark Pattern,0
1 Left,Scarcity,1
 Shop All Lehenga Choli ,Not Dark Pattern,0
"Wigsbuy- Online Beauty Store of Fashion Wigs, Hair Extensions & Accessories for Sale.",Not Dark Pattern,0
ONLY 14 LEFT AT THIS PRICE,Scarcity,1
Over 500 left in stock,Scarcity,1
Low in stock: only 1 left.,Scarcity,1
"No thanks, I prefer to pay more for shoes!",Misdirection,4
AboutOur StoryOur MissionOur ProductsIn the News,Not Dark Pattern,0
Your cart is reserved for 14:05 minutes!,Urgency,3
Boys Green School Uniforms,Not Dark Pattern,0
"Son in Suisun City, United States purchased Commander Lex",Social Proof,2
Read More ,Not Dark Pattern,0
"HURRY, LOW IN STOCK!",Scarcity,1
Great choice!,Not Dark Pattern,0
Only 2 left.,Scarcity,1
 Sale By Category ,Not Dark Pattern,0
7 sold in last 24 hours,Social Proof,2
Only 7 in Stock!,Scarcity,1
Jewelry Care Kit,Not Dark Pattern,0
Buy Wearables»,Not Dark Pattern,0
 Crystal Beads ,Not Dark Pattern,0
ONLY 4 LEFT!,Scarcity,1
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,Social Proof,2
Only 9 units left in stock online.,Scarcity,1
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0
Only 1 items left,Scarcity,1
 Cooling & Air Treatment ,Not Dark Pattern,0
Hurry! Almost Sold Out...,Scarcity,1
Animals & Action Figures,Not Dark Pattern,0
Sexy A Line Short Sleeve Sequins Off-the-shoulder Floor-length Mother of the Bride Dress with Split Front,Not Dark Pattern,0
and future features included!,Not Dark Pattern,0
70% offers claimed. Hurry up!,Scarcity,1
Only 4 unit(s) available!,Scarcity,1
Hurry! Less than 10 left!,Scarcity,1
4 people are looking at this right now.,Social Proof,2
Discount pending $10 OFF 00:30:00,Urgency,3
Offer ends in 9hrs 55min 29sec!,Urgency,3
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Social Proof,2
OH SO POPULAR! 21 bought in the last 7 days.,Social Proof,2
Covered all grays,Not Dark Pattern,0
Only 5 left!,Scarcity,1
 Best Deals of the Month: April Edition ,Not Dark Pattern,0
"No thanks, I despise coupons!",Misdirection,4
"No Thanks, I don't want a discount",Misdirection,4
17 people have added this item to cart,Social Proof,2
 Books About Indian Culture ,Not Dark Pattern,0
 Cordless Phones For Seniors ,Not Dark Pattern,0
Institute for Legislative Action,Not Dark Pattern,0
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,1
xB Remotes,Not Dark Pattern,0
 Read More ,Not Dark Pattern,0
"No thanks, I don't like discounts",Misdirection,4
LIMITED TIME DEAL!,Urgency,3
View All Home Accessories,Not Dark Pattern,0
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Social Proof,2
Men's Accessories ,Not Dark Pattern,0
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Social Proof,2
3Days01:49:51 Left,Urgency,3
210+ bought,Social Proof,2
How to cast on,Not Dark Pattern,0
 Add to Wish List Add to Compare ,Not Dark Pattern,0
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Social Proof,2
 SHIPPING INFO ,Not Dark Pattern,0
Limited Time Promo $194.00,Urgency,3
Creators' Council,Not Dark Pattern,0
Books and Stationery,Not Dark Pattern,0
"1,142 people have added to cart recently",Social Proof,2
Only 2 Left,Scarcity,1
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,1
"No thank you, I prefer to pay full price",Misdirection,4
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,3
12 recently purchased it.,Social Proof,2
5 items left,Scarcity,1
